Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000820/00170000  content_loss:0.0000  lap_loss:0.0770  rec_loss:0.0563  style_loss:0.8849  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000830/00170000  content_loss:0.0000  lap_loss:0.0227  rec_loss:0.0281  style_loss:0.6266  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000840/00170000  content_loss:0.0000  lap_loss:0.0493  rec_loss:0.0402  style_loss:0.9841  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000850/00170000  content_loss:0.0000  lap_loss:0.0210  rec_loss:0.0268  style_loss:0.6405  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000860/00170000  content_loss:0.0000  lap_loss:0.0410  rec_loss:0.0550  style_loss:0.5882  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Iteration: 00000870/00170000  content_loss:0.0000  lap_loss:0.1315  rec_loss:0.0722  style_loss:1.7961  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000880/00170000  content_loss:0.0000  lap_loss:0.0479  rec_loss:0.0573  style_loss:1.1390  loss_tmp:0.0000  loss_tmp_GT:0.0000
Iteration: 00000890/00170000  content_loss:0.0000  lap_loss:0.0227  rec_loss:0.0357  style_loss:0.7462  loss_tmp:0.0000  loss_tmp_GT:0.0000
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
Cholesky Decomposition fails. Gradient infinity. Skip current batch. 
